word,attempts,solved
rossa,4,True
jetty,7,True
wizzo,5,True
cuppa,5,True
cohoe,5,True
gurks,6,True
squad,4,True
beisa,4,True
shrug,4,True
fossa,6,True
fluyt,4,True
camus,5,True
speed,5,True
mamil,6,True
array,3,True
polio,5,True
barns,6,True
panes,2,True
souts,9,True
limas,4,True
fetch,5,True
queck,4,True
twink,4,True
graze,8,True
crock,6,True
almud,5,True
oohed,5,True
colog,4,True
wisht,4,True
beard,4,True
samel,4,True
ahind,4,True
brung,4,True
barca,5,True
mahal,6,True
jambe,4,True
plush,4,True
bruja,5,True
howre,4,True
middy,4,True
kabab,6,True
zeals,12,True
mazel,7,True
sputa,4,True
goory,5,True
pails,3,True
scogs,5,True
snool,6,True
poboy,6,True
doest,3,True
orixa,4,True
quipo,4,True
burbs,9,True
goads,5,True
blaud,4,True
flocs,5,True
harim,4,True
mamey,6,True
primp,6,True
lathy,3,True
lunes,4,True
staps,4,True
salad,5,True
agony,4,True
gusli,3,True
damps,5,True
tocks,4,True
hoick,4,True
marry,7,True
amply,3,True
glisk,4,True
pulis,3,True
apter,3,True
shell,5,True
capas,5,True
saunf,4,True
kutis,4,True
teggs,6,True
halsh,5,True
gamma,6,True
tardy,2,True
tease,3,True
towts,8,True
abuts,4,True
allee,5,True
chins,4,True
rolly,3,True
situs,4,True
bards,6,True
phyma,4,True
torrs,6,True
chace,7,True
bikky,5,True
stoor,4,True
quink,4,True
wedgy,5,True
vises,7,True
swore,7,True
upsee,5,True
gyves,7,True
heapy,3,True
gilas,4,True
gairs,6,True
yonic,3,True
wagon,5,True
rance,4,True
swail,7,True
laxed,11,True
panne,5,True
tabus,6,True
anomy,3,True
swarm,6,True
sword,5,True
pharm,4,True
penes,5,True
snoek,4,True
razet,4,True
nahal,5,True
kapus,6,True
lokey,4,True
gobos,5,True
jails,11,True
afars,11,True
nerka,5,True
cundy,3,True
snark,5,True
intra,3,True
bundh,3,True
tanga,5,True
baaed,7,True
solus,5,True
senor,2,True
umami,7,True
wared,7,True
sharp,5,True
pewed,5,True
tuktu,4,True
knowd,4,True
dawds,6,True
flurr,4,True
inert,4,True
taxus,7,True
ruana,3,True
sulci,4,True
jaded,10,True
othyl,5,True
redig,5,True
manky,3,True
ovism,5,True
matlo,4,True
cease,6,True
perae,3,True
sixes,10,True
pubco,4,True
yappy,8,True
famed,7,True
hexed,7,True
bawrs,4,True
decry,4,True
